Indicator,Year,Value
Antal antagna som påbörjat studier,2007,14652.0
därav andel kvinnor i procent,2007,55.0
därav andel män i procent,2007,45.0
Antal studerande,2007,33684.0
därav andel kvinnor i procent,2007,55.0
därav andel män i procent,2007,45.0
Antal examinerade,2007,7830.0
därav andel kvinnor i procent,2007,58.0
därav andel män i procent,2007,42.0
Examensgrad,2007,62.8
"Examensgrad, kvinnor",2007,67.9
"Examensgrad, män",2007,57.0
Antal antagna som påbörjat studier,2008,15298.0
därav andel kvinnor i procent,2008,56.0
därav andel män i procent,2008,44.0
Antal studerande,2008,36657.0
därav andel kvinnor i procent,2008,55.0
därav andel män i procent,2008,45.0
Antal examinerade,2008,8968.0
därav andel kvinnor i procent,2008,61.0
därav andel män i procent,2008,39.0
Examensgrad,2008,64.7
"Examensgrad, kvinnor",2008,69.6
"Examensgrad, män",2008,58.5
Antal antagna som påbörjat studier,2009,16572.0
därav andel kvinnor i procent,2009,52.0
därav andel män i procent,2009,48.0
Antal studerande,2009,39417.0
därav andel kvinnor i procent,2009,54.0
därav andel män i procent,2009,46.0
Antal examinerade,2009,9907.0
därav andel kvinnor i procent,2009,58.0
därav andel män i procent,2009,42.0
Examensgrad,2009,67.0
"Examensgrad, kvinnor",2009,71.9
"Examensgrad, män",2009,61.2
Antal antagna som påbörjat studier,2010,16792.0
därav andel kvinnor i procent,2010,51.0
därav andel män i procent,2010,49.0
Antal studerande,2010,41597.0
därav andel kvinnor i procent,2010,52.0
därav andel män i procent,2010,48.0
Antal examinerade,2010,10510.0
därav andel kvinnor i procent,2010,58.0
därav andel män i procent,2010,42.0
Examensgrad,2010,66.9
"Examensgrad, kvinnor",2010,71.2
"Examensgrad, män",2010,61.8
Antal antagna som påbörjat studier,2011,16855.0
därav andel kvinnor i procent,2011,51.0
därav andel män i procent,2011,49.0
Antal studerande,2011,42484.0
därav andel kvinnor i procent,2011,51.0
därav andel män i procent,2011,49.0
Antal examinerade,2011,12081.0
därav andel kvinnor i procent,2011,54.0
därav andel män i procent,2011,46.0
Examensgrad,2011,69.0
"Examensgrad, kvinnor",2011,73.3
"Examensgrad, män",2011,64.4
Antal antagna som påbörjat studier,2012,15801.0
därav andel kvinnor i procent,2012,52.0
därav andel män i procent,2012,48.0
Antal studerande,2012,40754.0
därav andel kvinnor i procent,2012,51.0
därav andel män i procent,2012,49.0
Antal examinerade,2012,10885.0
därav andel kvinnor i procent,2012,55.0
därav andel män i procent,2012,45.0
Examensgrad,2012,70.5
"Examensgrad, kvinnor",2012,76.0
"Examensgrad, män",2012,64.8
Antal antagna som påbörjat studier,2013,17697.0
därav andel kvinnor i procent,2013,52.0
därav andel män i procent,2013,48.0
Antal studerande,2013,42596.0
därav andel kvinnor i procent,2013,52.0
därav andel män i procent,2013,48.0
Antal examinerade,2013,11393.0
därav andel kvinnor i procent,2013,54.0
därav andel män i procent,2013,46.0
Examensgrad,2013,70.8
"Examensgrad, kvinnor",2013,75.8
"Examensgrad, män",2013,65.8
Antal antagna som påbörjat studier,2014,18442.0
därav andel kvinnor i procent,2014,52.0
därav andel män i procent,2014,48.0
Antal studerande,2014,44929.0
därav andel kvinnor i procent,2014,52.0
därav andel män i procent,2014,48.0
Antal examinerade,2014,11597.0
därav andel kvinnor i procent,2014,55.0
därav andel män i procent,2014,45.0
Examensgrad,2014,72.1
"Examensgrad, kvinnor",2014,77.6
"Examensgrad, män",2014,66.3
Antal antagna som påbörjat studier,2015,18334.0
därav andel kvinnor i procent,2015,51.0
därav andel män i procent,2015,49.0
Antal studerande,2015,46633.0
därav andel kvinnor i procent,2015,52.0
därav andel män i procent,2015,48.0
Antal examinerade,2015,13129.0
därav andel kvinnor i procent,2015,57.0
därav andel män i procent,2015,43.0
Examensgrad,2015,73.7
"Examensgrad, kvinnor",2015,78.5
"Examensgrad, män",2015,68.2
Antal antagna som påbörjat studier,2016,19600.0
därav andel kvinnor i procent,2016,54.0
därav andel män i procent,2016,46.0
Antal studerande,2016,47983.0
därav andel kvinnor i procent,2016,52.0
därav andel män i procent,2016,48.0
Antal examinerade,2016,12920.0
därav andel kvinnor i procent,2016,56.0
därav andel män i procent,2016,44.0
Examensgrad,2016,74.1
"Examensgrad, kvinnor",2016,79.9
"Examensgrad, män",2016,67.6
Antal antagna som påbörjat studier,2017,20642.0
därav andel kvinnor i procent,2017,55.0
därav andel män i procent,2017,45.0
Antal studerande,2017,50373.0
därav andel kvinnor i procent,2017,53.0
därav andel män i procent,2017,47.0
Antal examinerade,2017,13279.0
därav andel kvinnor i procent,2017,56.0
därav andel män i procent,2017,44.0
Examensgrad,2017,73.0
"Examensgrad, kvinnor",2017,78.8
"Examensgrad, män",2017,66.6
Antal antagna som påbörjat studier,2018,23052.0
därav andel kvinnor i procent,2018,56.0
därav andel män i procent,2018,44.0
Antal studerande,2018,52741.0
därav andel kvinnor i procent,2018,55.0
därav andel män i procent,2018,45.0
Antal examinerade,2018,13603.0
därav andel kvinnor i procent,2018,57.0
därav andel män i procent,2018,43.0
Examensgrad,2018,72.7
"Examensgrad, kvinnor",2018,78.6
"Examensgrad, män",2018,66.0
Antal antagna som påbörjat studier,2019,28561.0
därav andel kvinnor i procent,2019,55.0
därav andel män i procent,2019,45.0
Antal studerande,2019,61393.0
därav andel kvinnor i procent,2019,55.0
därav andel män i procent,2019,45.0
Antal examinerade,2019,14628.0
därav andel kvinnor i procent,2019,59.0
därav andel män i procent,2019,41.0
Examensgrad,2019,71.6
"Examensgrad, kvinnor",2019,76.8
"Examensgrad, män",2019,65.3
Antal antagna som påbörjat studier,2020,36162.0
därav andel kvinnor i procent,2020,53.0
därav andel män i procent,2020,47.0
Antal studerande,2020,75371.0
därav andel kvinnor i procent,2020,54.0
därav andel män i procent,2020,46.0
Antal examinerade,2020,17236.0
därav andel kvinnor i procent,2020,60.0
därav andel män i procent,2020,40.0
Examensgrad,2020,72.3
"Examensgrad, kvinnor",2020,76.4
"Examensgrad, män",2020,67.0
Antal antagna som påbörjat studier,2021,33282.0
därav andel kvinnor i procent,2021,53.0
därav andel män i procent,2021,47.0
Antal studerande,2021,82753.0
därav andel kvinnor i procent,2021,53.0
därav andel män i procent,2021,47.0
Antal examinerade,2021,19944.0
därav andel kvinnor i procent,2021,58.0
därav andel män i procent,2021,42.0
Examensgrad,2021,70.3
"Examensgrad, kvinnor",2021,74.9
"Examensgrad, män",2021,64.9
Antal antagna som påbörjat studier,2022,33494.0
därav andel kvinnor i procent,2022,53.0
därav andel män i procent,2022,47.0
Antal studerande,2022,84871.0
därav andel kvinnor i procent,2022,53.0
därav andel män i procent,2022,47.0
Antal examinerade,2022,23930.0
därav andel kvinnor i procent,2022,57.0
därav andel män i procent,2022,43.0
Examensgrad,2022,67.5
"Examensgrad, kvinnor",2022,72.4
"Examensgrad, män",2022,62.0
Antal antagna som påbörjat studier,2023,35210.0
därav andel kvinnor i procent,2023,51.0
därav andel män i procent,2023,49.0
Antal studerande,2023,84560.0
därav andel kvinnor i procent,2023,52.0
därav andel män i procent,2023,48.0
Antal examinerade,2023,22304.0
därav andel kvinnor i procent,2023,57.0
därav andel män i procent,2023,43.0
Examensgrad,2023,67.7
"Examensgrad, kvinnor",2023,72.8
"Examensgrad, män",2023,61.9
Antal antagna som påbörjat studier,2024,35426.0
därav andel kvinnor i procent,2024,50.0
därav andel män i procent,2024,50.0
Antal studerande,2024,87225.0
därav andel kvinnor i procent,2024,51.0
därav andel män i procent,2024,49.0
Antal examinerade,2024,
därav andel kvinnor i procent,2024,
därav andel män i procent,2024,
Examensgrad,2024,
"Examensgrad, kvinnor",2024,
"Examensgrad, män",2024,
